Accession	Kingdom			
NC_017192.1_1158	Bacteria 			
NZ_CP027729.1_3515	Bacteria 			
NZ_CP027749.1_2253	Bacteria 			
NZ_CP015163.1_6150	Bacteria 			
NZ_CP022221.1_1866	Bacteria 			
NC_022196.1_1796	Bacteria 			
NC_015702.1_1680	Bacteria 			
NC_010334.1_1674	Bacteria 			
NC_018013.1_316	Bacteria 			
NZ_LS999839.1_1676	Bacteria 			
NZ_LR590470.1_1083	Bacteria 			
NZ_CP033929.1_1663	Bacteria 			
NZ_CP022986.1_1470	Bacteria 			
NZ_CP022657.1_3316	Bacteria 			
NZ_CP021434.1_2328	Bacteria 			
NZ_CP026113.1_1237	Bacteria 			
NZ_CP009556.1_2585	Bacteria 			
NZ_CP013359.1_2166	Bacteria 			
NZ_CP012672.1_6840	Bacteria 			
NC_010162.1_4958	Bacteria 			
NC_021658.1_5982	Bacteria 			
NZ_HG315671.1_1563	Bacteria 			
NZ_CP009982.1_1186	Bacteria 			
NZ_CP013826.1_1189	Bacteria 			
NZ_CP007637.1_4031	Bacteria 			
NZ_LT629709.1_863	Bacteria 			
NZ_CP027723.1_4137	Bacteria 			
NZ_LT629706.1_5326	Bacteria 			
NZ_LN554846.1_1292	Bacteria 			
NZ_CP028369.1_8122	Bacteria 			
NZ_CP007757.1_260	Bacteria 			
NZ_CP027706.1_2347	Bacteria 			
NZ_CP027705.1_2446	Bacteria 			
NZ_CP031396.1_5672	Bacteria 			
NC_021237.1_2577	Bacteria 			
NZ_LS999205.1_2578	Bacteria 			
NZ_AP014522.1_2559	Bacteria 			
NZ_CP013184.1_2713	Bacteria 			
NC_004129.6_2533	Bacteria 			
NZ_CP022097.2_5468	Bacteria 			
NZ_CP033134.1_1807	Bacteria 			
NZ_CP022053.2_38	Bacteria 			
NZ_CP033586.1_1369	Bacteria 			
NZ_CP033829.1_2457	Bacteria 			
NZ_CP021645.1_1848	Bacteria 			
NC_010688.1_858	Bacteria 			
NZ_CM002545.1_917	Bacteria 			
NZ_CP025750.1_850	Bacteria 			
NZ_CP017317.1_845	Bacteria 			
NZ_CP017323.1_845	Bacteria 			
NZ_CP017389.1_843	Bacteria 			
NZ_CP008856.2_3637	Bacteria 			
NZ_CP015225.1_6131	Bacteria 			
NZ_CP034425.1_3635	Bacteria 			
NZ_CP014137.1_264	Bacteria 			
NZ_CP029608.1_3203	Bacteria 			
NZ_CP025263.1_3424	Bacteria 			
NZ_CP024934.1_863	Bacteria 			
NZ_CP025774.1_3490	Bacteria 			
NC_018020.1_3459	Bacteria 			
NZ_CP017890.1_859	Bacteria 			
NZ_CP017897.1_838	Bacteria 			
NZ_CP017900.1_874	Bacteria 			
NZ_CP017908.1_837	Bacteria 			
NZ_CP017912.1_837	Bacteria 			
NZ_CP017914.1_837	Bacteria 			
NZ_CP017918.1_1676	Bacteria 			
NZ_CP011110.1_3742	Bacteria 			
NZ_CP010892.1_2423	Bacteria 			
NZ_CP027716.1_2230	Bacteria 			
NZ_CP027744.1_2316	Bacteria 			
NZ_CM001490.1_2501	Bacteria 			
NZ_CP008696.1_2193	Bacteria 			
NZ_CP025309.1_2254	Bacteria 			
NZ_CP027719.1_2494	Bacteria 			
NZ_CP027721.1_2349	Bacteria 			
NZ_CP027722.1_2289	Bacteria 			
NZ_CP027747.1_2338	Bacteria 			
NZ_CP027748.1_2311	Bacteria 			
NZ_CP027749.1_2418	Bacteria 			
NZ_CP027750.1_2280	Bacteria 			
NZ_CP027751.1_2338	Bacteria 			
NZ_CP027752.1_2394	Bacteria 			
NZ_CP027720.1_2310	Bacteria 			
NZ_LT629738.1_3357	Bacteria 			
NZ_CM001559.1_2369	Bacteria 			
NZ_CP027712.1_2369	Bacteria 			
NZ_CP018201.1_2973	Bacteria 			
NC_019393.1_1970	Bacteria 			
NC_021713.1_1958	Bacteria 			
NC_021714.1_363	Bacteria 			
NZ_CP013928.1_1960	Bacteria 			
NZ_AP014638.1_5118	Bacteria 			
NZ_AP014642.1_5117	Bacteria 			
NZ_AP018203.1_1211	Bacteria 			
NC_008254.1_1265	Bacteria 			
NZ_CP020925.1_3059	Bacteria 			
NZ_CP029335.1_1322	Bacteria 			
NZ_AP018165.1_1767	Bacteria 			
NZ_CP017169.1_3589	Bacteria 			
NZ_CP021749.1_509	Bacteria 			
NZ_CP029126.1_1118	Bacteria 			
NZ_CP010122.1_1350	Bacteria 			
NZ_CP010125.1_3373	Bacteria 			
NC_017531.2_1105	Bacteria 			
NZ_CP018770.2_3478	Bacteria 			
NZ_CP034657.1_2492	Bacteria 			
NZ_CP034657.1_4046	Bacteria 			
NC_007912.1_1873	Bacteria 			
NZ_CP019121.1_1666	Bacteria 			
NZ_CP015574.1_4043	Bacteria 			
NZ_CP025094.1_3907	Bacteria 			
NZ_LR134144.1_3823	Bacteria 			
NZ_CP034721.1_3818	Bacteria 			
NZ_CP006872.1_3545	Bacteria 			
NZ_CP009909.1_1041	Bacteria 			
CP001687.1_237	Archaea 			
NZ_CP015961.1_2605	Bacteria 			
NZ_CP019066.1_58	Bacteria 			
NZ_CP025435.1_2073	Bacteria 			
NC_016946.1_4642	Bacteria 			
NZ_CP026746.1_3000	Bacteria 			
NC_014168.1_921	Bacteria 			
NC_019952.1_3316	Bacteria 			
NC_014391.1_2583	Bacteria 			
NZ_CM000951.1_8525	Bacteria 			
NZ_CP031969.1_8453	Bacteria 			
NZ_CP013743.1_9	Bacteria 			
NZ_LR590463.1_2490	Bacteria 			
NZ_CP028924.1_1676	Bacteria 			
NZ_CP022219.1_3261	Bacteria 			
NZ_CP019959.1_2866	Bacteria 			
NC_009719.1_266	Bacteria 			
NZ_CM004384.1_295	Bacteria 			
NZ_CP031474.1_46	Bacteria 			
NZ_CP040518.1_2807	Bacteria 			
NC_007492.2_3085	Bacteria 			
NC_015222.1_1526	Bacteria 			
NC_016109.1_2405	Bacteria 			
NZ_LR134356.1_5145	Bacteria 			
NZ_AP017900.1_1817	Bacteria 			
NZ_CP017839.1_2559	Bacteria 			
NZ_CP010019.1_1166	Bacteria 			
NZ_CP007399.1_948	Bacteria 			
NC_021658.1_9239	Bacteria 			
NC_021878.1_1142	Bacteria 			
NZ_CP018632.1_6035	Bacteria 			
NZ_LR025743.1_2959	Bacteria 			
NC_007908.1_1354	Bacteria 			
NZ_AFXJ01000001.1_2664	Bacteria 			
NZ_AFXK01000001.1_2706	Bacteria 			
NZ_CP014999.1_2878	Bacteria 			
NZ_CP015001.1_2774	Bacteria 			
NZ_CP015002.1_2899	Bacteria 			
NZ_CP015003.1_3045	Bacteria 			
NZ_CP021380.1_6419	Bacteria 			
NZ_CP022002.1_4177	Bacteria 			
NZ_CP028584.2_2957	Bacteria 			
NZ_CP030911.1_2748	Bacteria 			
NZ_CP030913.1_2746	Bacteria 			
NZ_CP031677.1_1931	Bacteria 			
NZ_CP040127.1_2689	Bacteria 			
NZ_CM002866.1_3804	Bacteria 			
NZ_CP018472.1_124	Bacteria 			
NZ_CP018726.1_186	Bacteria 			
NZ_CP018732.1_94	Bacteria 			
NZ_CM007620.1_7	Bacteria 			
NZ_CM007623.1_177	Bacteria 			
NZ_CP018729.1_220	Bacteria 			
NZ_CP018848.1_5	Bacteria 			
NZ_CP018851.1_179	Bacteria 			
NZ_CP018855.1_218	Bacteria 			
NZ_CP018859.1_203	Bacteria 			
NZ_CP023286.1_200	Bacteria 			
NZ_CP012048.1_4561	Bacteria 			
NZ_CP012057.1_4560	Bacteria 			
NZ_CP012060.1_4570	Bacteria 			
NZ_CP012063.1_4560	Bacteria 			
NZ_CP020964.1_3681	Bacteria 			
NZ_CP020967.1_2288	Bacteria 			
NZ_CP020975.1_2170	Bacteria 			
NZ_CP018468.1_212	Bacteria 			
NZ_CP040017.1_647	Bacteria 			
NC_016628.1_389	Bacteria 			
NZ_CP027744.1_2277	Bacteria 			
NZ_LT629689.1_1373	Bacteria 			
NZ_AP019702.1_3048	Bacteria 			
NZ_CP031704.1_4286	Bacteria 			
NC_007434.1_1728	Bacteria 			
NZ_CM000832.1_1736	Bacteria 			
NZ_CP008916.1_1502	Bacteria 			
NZ_CP015371.1_2871	Bacteria 			
NZ_AP014855.1_774	Bacteria 			
NZ_CP030007.1_1247	Bacteria 			
NZ_CP020448.2_1649	Bacteria 			
NZ_CP014692.1_600	Bacteria 			
NZ_CP029640.1_1740	Bacteria 			
NZ_CP011253.3_3259	Bacteria 			
NC_015510.1_4011	Bacteria 			
NZ_CP016374.1_3110	Bacteria 			
NZ_CM003594.1_2179	Bacteria 			
NZ_CP014528.1_2340	Bacteria 			
NZ_CP040056.1_2716	Bacteria 			
NZ_CP040087.1_1022	Bacteria 			
NZ_CP015364.1_1167	Bacteria 			
NZ_CP028997.1_67	Bacteria 			
NZ_CP031791.1_91	Bacteria 			
NZ_CP040597.1_92	Bacteria 			
NZ_CP019839.1_1144	Bacteria 			
NZ_CP022148.1_4567	Bacteria 			
NZ_CP021781.1_897	Bacteria 			
NZ_CP035926.1_869	Bacteria 			
NC_020156.1_2989	Bacteria 			
NZ_CP028826.1_3669	Bacteria 			
CP001868.2_892	Archaea 			
CP007551.1_902	Archaea 			
CP039139.1_1502	Archaea 			
NC_022663.1_2108	Bacteria 			
NZ_CP019883.1_3638	Bacteria 			
NZ_CP019884.1_3719	Bacteria 			
NZ_CP019885.1_3551	Bacteria 			
NZ_CP019886.1_2074	Bacteria 			
NZ_CP019887.1_2087	Bacteria 			
NZ_CP019888.1_2197	Bacteria 			
NZ_CP025018.1_4895	Bacteria 			
NZ_CP040695.1_3223	Bacteria 			
WP_147131142.1	Bacteria			
WP_150312747.1	Bacteria			
NZ_CP014158.1_2544	Bacteria 			
NZ_CP007399.1_947	Bacteria 			
NZ_CP007029.1_1036	Bacteria 			
WP_151526249.1	Bacteria			
NUO38960.1	Bacteria			
NUS34504.1	Bacteria			
WP_107305137.1	Bacteria			
WP_193002640.1	Bacteria			
WP_058429048.1	Bacteria			
NZ_CP019162.1_964	Bacteria 			
WP_057066620.1	Bacteria			
WP_181715000.1	Bacteria			
AAT96125.1	Bacteria			
MBH2866921.1	Bacteria			
WP_148718806.1	Bacteria			
WP_110493785.1	Bacteria			
WP_181506522.1	Bacteria			
WP_111987027.1	Bacteria			
WP_193146790.1	Bacteria			
WP_162887940.1	Bacteria			
NZ_CP031257.1_598	Bacteria 			
WP_023309256.1	Bacteria			
NZ_CP034336.1_3331	Bacteria 			
WP_165551418.1	Bacteria			
WP_009309676.1	Bacteria			
WP_130997122.1	Bacteria			
WP_128414897.1	Bacteria			
EEW2249652.1	Bacteria			
EFK5334807.1	Bacteria			
EFH6812080.1	Bacteria			
WP_141436641.1	Bacteria			
WP_142381219.1	Bacteria			
HAS1221961.1	Bacteria			
WP_165564753.1	Bacteria			
WP_193085089.1	Bacteria			
NOU00059.1	Bacteria			
NZ_CP012006.1_2501	Bacteria 			
NZ_CP021342.1_2296	Bacteria 			
NZ_CP040050.1_1061	Bacteria 			
NZ_AP018828.1_579	Bacteria 			
NZ_CP017707.1_2511	Bacteria 			
NC_018695.1_992	Bacteria 			
NC_021287.1_693	Bacteria 			
NZ_CP013102.1_1976	Bacteria 			
NZ_CP026101.1_1730	Bacteria 			
NZ_CP013232.1_1633	Bacteria 			
NZ_CP013369.1_17	Bacteria 			
NZ_CP013400.1_1888	Bacteria 			
NZ_CP020740.1_128	Bacteria 			
NZ_CP022776.1_482	Bacteria 			
NZ_CP022768.1_623	Bacteria 			
NZ_CP022778.1_621	Bacteria 			
NZ_OFTR01000001.1_139	Bacteria 			
NZ_CP013415.1_165	Bacteria 			
NZ_CP016436.1_290	Bacteria 			
NZ_CP023657.1_1888	Bacteria 			
NZ_CP030871.1_2106	Bacteria 			
PZP83929.1	Bacteria			
WP_006714359.1	Bacteria			
WP_045131811.1	Bacteria			
WP_152630802.1	Bacteria			
WP_139123787.1	Bacteria			
NZ_CP033144.1_952	Bacteria 			
WP_140075438.1	Bacteria			
WP_069530276.1	Bacteria			
WP_161755612.1	Bacteria			
WP_129543339.1	Bacteria			
NZ_CP032738.1_771	Bacteria 			
WP_193135489.1	Bacteria			
WP_182058326.1	Bacteria			
MBJ9241101.1	Bacteria			
ECV2340818.1	Bacteria			
ECS9208222.1	Bacteria			
HAU5068562.1	Bacteria			
WP_098140267.1	Bacteria			
EAA8320919.1	Bacteria			
WP_044557266.1	Bacteria			
NC_016620.1_767	Bacteria 			
NZ_CP012670.1_1470	Bacteria 			
WP_197562227.1	Bacteria			
GFH63380.1	Bacteria			
WP_056253481.1	Bacteria			
HEA29472.1	Bacteria			
NZ_CP022133.1_1550	Bacteria 			
NC_010505.1_5273	Bacteria 			
NZ_CP039903.1_2102	Bacteria 			
NZ_CP011018.1_373	Bacteria 			
NZ_CP029369.1_3746	Bacteria 			
NZ_CP033141.1_3084	Bacteria 			
NZ_CP033142.1_1521	Bacteria 			
NZ_CP033143.1_56	Bacteria 			
NZ_CP031356.1_1912	Bacteria 			
WP_163739230.1	Bacteria			
WP_053563173.1	Bacteria			
WP_053741698.1	Bacteria			
WP_141704191.1	Bacteria			
WP_163016816.1	Bacteria			
WP_067019913.1	Bacteria			
WP_141582473.1	Bacteria			
WP_048820579.1	Bacteria			
WP_188306431.1	Bacteria			
NZ_CP031742.1_2874	Bacteria 			
WP_158989285.1	Bacteria			
WP_143666448.1	Bacteria			
WP_157873284.1	Bacteria			
WP_143613471.1	Bacteria			
WP_159064537.1	Bacteria			
WP_157818913.1	Bacteria			
WP_146616456.1	Bacteria			
WP_189040111.1	Bacteria			
WP_174545783.1	Bacteria			
NZ_CP006871.1_3968	Bacteria 			
NZ_CP026094.1_3644	Bacteria 			
WP_158713558.1	Bacteria			
WP_158713454.1	Bacteria			
WP_189953733.1	Bacteria			
WP_141726118.1	Bacteria			
WP_190029831.1	Bacteria			
WP_143676300.1	Bacteria			
WP_185018143.1	Bacteria			
WP_135064506.1	Bacteria			
WP_140935986.1	Bacteria			
GGK48049.1	Bacteria			
WP_157880255.1	Bacteria			
WP_015666785.1	Bacteria			
NC_020453.1_3742	Bacteria 			
NZ_CP029495.1_1201	Bacteria 			
NC_005085.1_2836	Bacteria 			
WP_147400227.1	Bacteria			
WP_157672712.1	Bacteria			
NZ_CP020917.1_1955	Bacteria 			
WP_155697040.1	Bacteria			
WP_061000343.1	Bacteria			
MBI2469661.1	Bacteria			
MBI4506439.1	Bacteria			
MBI2321998.1	Bacteria			
AXV39437.1	Archaea			
CP022706.1_711	Archaea 			
WP_048140678.1	Archaea			
CP009516.1_2985	Archaea 			
WP_075053995.1	Archaea			
CP007536.1_629	Archaea 			
WP_155237583.1	Bacteria			
WP_129880601.1	Bacteria			
WP_129855272.1	Bacteria			
WP_143432890.1	Bacteria			
NZ_CP015407.2_13	Bacteria 			
WP_188950131.1	Bacteria			
WP_096253749.1	Bacteria			
MBC9954998.1	Bacteria			
WP_101596847.1	Bacteria			
WP_152599254.1	Bacteria			
WP_155641054.1	Bacteria			
MBC9926326.1	Bacteria			
WP_138254339.1	Bacteria			
WP_068200724.1	Bacteria			
NZ_CP014209.1_329	Bacteria 			
QNO41882.1	Archaea			
HAF11306.1	Bacteria			
WP_077676152.1	Bacteria			
WP_102395675.1	Bacteria			
WP_049876709.1	Bacteria			
HAS6235737.1	Bacteria			
WP_162633384.1	Bacteria			
NZ_CP029983.1_3528	Bacteria 			
WP_144419325.1	Bacteria			
WP_192227635.1	Bacteria			
WP_198722411.1	Bacteria			
WP_122266832.1	Bacteria			
WP_107333260.1	Bacteria			
NZ_CP024842.1_3173	Bacteria 			
CP019067.1_2985	Bacteria 			
CP002062.1_2976	Archaea 			
CP019154.1_2673	Archaea 			
NZ_LS398110.1_6328	Bacteria 			
NZ_CP039919.1_16	Bacteria 			
NZ_CP021915.1_12	Bacteria 			
NC_008009.1_1720	Bacteria 			
NZ_CP025394.1_4091	Bacteria 			
NZ_CP023481.1_701	Bacteria 			
NZ_CP029639.1_6408	Bacteria 			
NZ_CP012109.1_5081	Bacteria 			
NC_014623.1_2640	Bacteria 			
NZ_CP014062.1_3410	Bacteria 			
NC_016612.1_4846	Bacteria 			
NZ_CP015775.1_899	Bacteria 			
NZ_AP018498.1_397	Bacteria 			
NZ_CP003923.1_558	Bacteria 			
NZ_CP013661.2_113	Bacteria 			
NZ_CP011059.1_1420	Bacteria 			
NZ_CP034161.1_264	Bacteria 			
NZ_CP016087.1_359	Bacteria 			
NZ_CP030040.1_3689	Bacteria 			
NZ_CP032738.1_4915	Bacteria 			
NZ_CP036199.1_3072	Bacteria 			
NZ_CP039454.1_95	Bacteria 			
NZ_CP017802.2_2091	Bacteria 			
NZ_CP040993.1_3114	Bacteria 			
NZ_CP017991.1_133	Bacteria 			
NZ_CP039559.1_14	Bacteria 			
NZ_CP039717.1_14	Bacteria 			
NZ_CP015229.1_4292	Bacteria 			
NZ_CP022142.1_232	Bacteria 			
NZ_CP022389.1_951	Bacteria 			
NZ_CP029760.1_1023	Bacteria 			
NZ_CP023968.1_3612	Bacteria 			
NZ_CP033760.1_1078	Bacteria 			
NZ_CP008804.1_1312	Bacteria 			
NZ_CP020400.2_1039	Bacteria 			
NZ_CP027405.1_1469	Bacteria 			
NZ_LS483445.1_519	Bacteria 			
NC_015460.1_1050	Bacteria 			
NZ_CP020822.1_1817	Bacteria 			
NZ_CP040812.1_2605	Bacteria 			
NZ_LR215974.1_2986	Bacteria 			
NZ_CP011073.1_994	Bacteria 			
NZ_CP010776.1_1059	Bacteria 			
NZ_CP009621.1_383	Bacteria 			
NZ_CP029463.1_2249	Bacteria 			
NZ_CP017477.1_586	Bacteria 			
WP_056555150.1	Bacteria			
HCH74539.1	Bacteria			
WP_126792910.1	Bacteria			
WP_094552149.1	Bacteria			
WP_053477638.1	Bacteria			
WP_093373009.1	Bacteria			
WP_143033195.1	Bacteria			
WP_120464927.1	Bacteria			
WP_191804998.1	Bacteria			
WP_076243885.1	Bacteria			
WP_090647638.1	Bacteria			
WP_059040663.1	Bacteria			
WP_127451361.1	Bacteria			
WP_056832935.1	Bacteria			
WP_150459777.1	Bacteria			
WP_069328609.1	Bacteria			
WP_173611050.1	Bacteria			
KKB42083.1	Bacteria			
WP_034601308.1	Bacteria			
WP_195923598.1	Bacteria			
WP_191741608.1	Bacteria			
WP_069195342.1	Bacteria			
WP_010248244.1	Bacteria			
MBE0662566.1	Bacteria			
WP_070729753.1	Bacteria			
WP_035558331.1	Bacteria			
WP_187317289.1	Bacteria			
WP_157776956.1	Bacteria			
NZ_AP014564.1_999	Bacteria 			
NBG64525.1	Bacteria			
WP_193707963.1	Bacteria			
WP_102242633.1	Bacteria			
NZ_CP025704.1_849	Bacteria 			
WP_078686534.1	Bacteria			
WP_016178418.1	Bacteria			
EAG0986839.1	Bacteria			
WP_054741000.1	Bacteria			
WP_050698056.1	Bacteria			
WP_191441344.1	Bacteria			
WP_195450441.1	Bacteria			
WP_195560054.1	Bacteria			
WP_191395234.1	Bacteria			
WP_191521062.1	Bacteria			
WP_191405897.1	Bacteria			
WP_191362262.1	Bacteria			
NLZ62067.1	Bacteria			
NLX68356.1	Bacteria			
NLI52736.1	Bacteria			
WP_044955721.1	Bacteria			
WP_055150526.1	Bacteria			
WP_018597323.1	Bacteria			
MBE6835231.1	Bacteria			
KFI52303.1	Bacteria			
WP_198187214.1	Bacteria			
MBD5226332.1	Bacteria			
EXY19392.1	Bacteria			
NZ_CP011073.1_993	Bacteria 			
MBD5349660.1	Bacteria			
POR18699.1	Bacteria			
NZ_CP023968.1_3611	Bacteria 			
NZ_CP033760.1_1079	Bacteria 			
MAP53886.1	Bacteria			
QIE59292.1	Bacteria			
NQU92830.1	Bacteria			
WP_139066763.1	Bacteria			
NZ_CP040812.1_2606	Bacteria 			
WP_187459225.1	Bacteria			
WP_018612328.1	Bacteria			
WP_009642756.1	Bacteria			
PKP47452.1	Bacteria			
WP_155285623.1	Bacteria			
WP_095920276.1	Bacteria			
NZ_CP022389.1_950	Bacteria 			
HCY42412.1	Bacteria			
WP_166520094.1	Bacteria			
MBK0383967.1	Bacteria			
WP_062672312.1	Bacteria			
WP_047433492.1	Bacteria			
WP_076503085.1	Bacteria			
WP_188443878.1	Bacteria			
WP_188321455.1	Bacteria			
WP_153391454.1	Bacteria			
WP_161399207.1	Bacteria			
EEI92810.1	Bacteria			
WP_013687740.1	Bacteria			
NC_015321.1_2953	Bacteria 			
OIQ21200.1	Bacteria			
WP_171657417.1	Bacteria			
NVJ52444.1	Bacteria			
WP_159296201.1	Bacteria			
WP_136438553.1	Bacteria			
NZ_CP020822.1_1816	Bacteria 			
GGF07789.1	Bacteria			
WP_018675595.1	Bacteria			
NZ_CP029760.1_1021	Bacteria 			
WP_064969518.1	Bacteria			
NZ_CP029760.1_1022	Bacteria 			
WP_078796289.1	Bacteria			
WP_059323545.1	Bacteria			
WP_059137838.1	Bacteria			
NZ_LR215974.1_2985	Bacteria 			
WP_089732682.1	Bacteria			
WP_036243807.1	Bacteria			
WP_147489074.1	Bacteria			
WP_072281338.1	Bacteria			
WP_013745861.1	Bacteria			
NC_015460.1_1051	Bacteria 			
WP_154104073.1	Bacteria			
WP_115323103.1	Bacteria			
WP_070826115.1	Bacteria			
WP_128581797.1	Bacteria			
WP_111279514.1	Bacteria			
WP_003663249.1	Bacteria			
NZ_CP008804.1_1311	Bacteria 			
NZ_CP020400.2_1040	Bacteria 			
NZ_CP027405.1_1470	Bacteria 			
NZ_LS483445.1_520	Bacteria 			
WP_050837778.1	Bacteria			
WP_003776236.1	Bacteria			
WP_107813391.1	Bacteria			
WP_003742867.1	Bacteria			
WP_049228838.1	Bacteria			
WP_100288392.1	Bacteria			
WP_097115301.1	Bacteria			
WP_115006206.1	Bacteria			
WP_049357872.1	Bacteria			
WP_154885263.1	Bacteria			
OFN32752.1	Bacteria			
OHR40043.1	Bacteria			
WP_070613181.1	Bacteria			
QEH44638.1	Bacteria			
TYA52014.1	Bacteria			
WP_094490573.1	Bacteria			
WP_198331978.1	Bacteria			
WP_160020839.1	Bacteria			
WP_194618778.1	Bacteria			
WP_058025002.1	Bacteria			
EGK02077.1	Bacteria			
WP_194225472.1	Bacteria			
WP_114758269.1	Bacteria			
WP_199000945.1	Bacteria			
WP_047433805.1	Bacteria			
WP_165734115.1	Bacteria			
WP_166247784.1	Bacteria			
WP_065319358.1	Bacteria			
NZ_CP017477.1_585	Bacteria 			
WP_179319963.1	Bacteria			
WP_159523003.1	Bacteria			
WP_184178748.1	Bacteria			
RZJ91194.1	Bacteria			
WP_095704069.1	Bacteria			
WP_114006080.1	Bacteria			
WP_111394778.1	Bacteria			
WP_153847609.1	Bacteria			
WP_089053279.1	Bacteria			
WP_125011916.1	Bacteria			
WP_089478536.1	Bacteria			
WP_110305702.1	Bacteria			
WP_162128000.1	Bacteria			
WP_086896082.1	Bacteria			
WP_163399225.1	Bacteria			
WP_177733997.1	Bacteria			
WP_144214993.1	Bacteria			
NTW53457.1	Bacteria			
MAC94214.1	Bacteria			
RYY87994.1	Bacteria			
WP_021589400.1	Bacteria			
WP_057253855.1	Bacteria			
WP_005847477.1	Bacteria			
NC_019968.1_881	Bacteria 			
WP_100023596.1	Bacteria			
NZ_CP024696.1_1988	Bacteria 			
OJX87338.1	Bacteria			
WP_078736478.1	Bacteria			
WP_172276429.1	Bacteria			
WP_195646659.1	Bacteria			
WP_005836895.1	Bacteria			
WP_195302934.1	Bacteria			
WP_117969116.1	Bacteria			
WP_087426251.1	Bacteria			
WP_007656409.1	Bacteria			
WP_138273433.1	Bacteria			
WP_008448230.1	Bacteria			
HAM82774.1	Bacteria			
WP_122296414.1	Bacteria			
WP_195533632.1	Bacteria			
WP_065539463.1	Bacteria			
NZ_CP015401.2_2878	Bacteria 			
RGN56713.1	Bacteria			
WP_195446605.1	Bacteria			
WP_055170324.1	Bacteria			
WP_138274512.1	Bacteria			
WP_013617201.1	Bacteria			
NC_015164.1_1170	Bacteria 			
WP_087340031.1	Bacteria 			
WP_004372809.1	Bacteria			
MBI4157007.1	Archaea 			
WP_146833845.1	Bacteria			
WP_140997585.1	Bacteria			
AWM14340.1	Bacteria			
NZ_CP029463.1_2250	Bacteria			
WP_097777949.1	Bacteria			
SCX12099.1	Bacteria			
WP_162291951.1	Bacteria			
WP_158661668.1	Bacteria			
WP_074649703.1	Bacteria			
WP_106199822.1	Bacteria			
PWL74508.1	Bacteria			
WP_118712708.1	Bacteria			
WP_074926419.1	Bacteria			
MBA3046093.1	Archaea 			
MSV32804.1	Bacteria			
MBI3694308.1	Bacteria			
MBI3697386.1	Bacteria			
OFY43238.1	Bacteria			
MBI3601919.1	Bacteria			
HBR21520.1	Bacteria			
MBI5796935.1	Bacteria			
MBK1815737.1	Bacteria			
MBI4760404.1	Bacteria			
MBI5824582.1	Bacteria			
MBA3633863.1	Bacteria			
MBE0481647.1	Bacteria			
OGA35668.1	Bacteria			
WP_184115168.1	Bacteria			
TEX45487.1	Bacteria			
WP_139825224.1	Bacteria			
BBZ38783.1	Bacteria			
OFV91899.1	Bacteria			
EEF26502.1	Bacteria			
NOT16131.1	Bacteria			
PPC99544.1	Bacteria			
TMQ11038.1	Bacteria			
WP_069053887.1	Bacteria			
NZ_CP016464.1_1123	Bacteria 			
PZQ87067.1	Bacteria			
QPQ88807.1	Bacteria			
NC_015137.1_2334	Bacteria 			
WP_162090550.1	Bacteria			
WP_017454940.1	Bacteria			
WP_124964925.1	Bacteria			
WP_157289700.1	Bacteria			
AKF87032.1	Bacteria			
NZ_CP006003.1_7419	Bacteria 			
WP_134490779.1	Bacteria			
NZ_LR536450.1_2890	Bacteria 			
WP_068071346.1	Bacteria			
WP_043946292.1	Bacteria			
WP_012110740.1	Bacteria			
NC_009719.1_1867	Bacteria 			
OYY88408.1	Bacteria			
WP_076401812.1	Bacteria			
WP_009338226.1	Bacteria			
WP_140899275.1	Bacteria			
WP_192282691.1	Bacteria			
OYX76705.1	Bacteria 			
WP_018427714.1	Bacteria 			
WP_099555781.1	Bacteria 			
NZ_LT960614.1_1731	Bacteria 			
WP_073135241.1	Bacteria			
WP_099095839.1	Bacteria			
WP_011663883.1	Bacteria			
NC_008435.1_2555	Bacteria 			
WP_156536061.1	Bacteria			
WP_174017649.1	Bacteria			
WP_104952816.1	Bacteria			
NZ_CP026372.1_1396	Bacteria 			
WP_153365754.1	Bacteria			
WP_008125037.1	Bacteria			
WP_007514452.1	Bacteria 			
NC_020541.1_3861	Bacteria 			
WP_096453106.1	Bacteria			
NZ_CP023440.1_130	Bacteria 			
WP_169140447.1	Bacteria 			
WP_011829959.1	Bacteria			
NC_008825.1_2404	Bacteria 			
WP_050157971.1	Bacteria			
WP_024067897.1	Bacteria			
NZ_LN831029.1_1118	Bacteria 			
WP_168987743.1	Bacteria			
EDV5274798.1	Bacteria			
WP_066412676.1	Bacteria			
MBH9394202.1	Bacteria			
MBG6474161.1	Bacteria			
WP_132607396.1	Bacteria			
WP_134310892.1	Bacteria			
WP_043555297.1	Bacteria			
